file,status,direction,reason,tamil_characters,latin_words,source_path,translated_path
Kurunavalgal/annavin_kurunavalgal.md,ready,tamil_to_english,Tamil body available,733,0,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/md_pages/Kurunavalgal/annavin_kurunavalgal.md,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/translated_contents/Kurunavalgal/annavin_kurunavalgal.md
Kurunavalgal/appothae_sonnaen.md,ready,tamil_to_english,Tamil body available,6329,42,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/md_pages/Kurunavalgal/appothae_sonnaen.md,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/translated_contents/Kurunavalgal/appothae_sonnaen.md
Kurunavalgal/arasanda_aandi.md,ready,tamil_to_english,Tamil body available,5884,58,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/md_pages/Kurunavalgal/arasanda_aandi.md,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/translated_contents/Kurunavalgal/arasanda_aandi.md
Kurunavalgal/ettu_naatkal.md,ready,tamil_to_english,Tamil body available,6372,34,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/md_pages/Kurunavalgal/ettu_naatkal.md,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/translated_contents/Kurunavalgal/ettu_naatkal.md
Kurunavalgal/idhayam_irumbanal.md,ready,tamil_to_english,Tamil body available,6312,34,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/md_pages/Kurunavalgal/idhayam_irumbanal.md,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/translated_contents/Kurunavalgal/idhayam_irumbanal.md
Kurunavalgal/idhayam_pongiya.md,ready,tamil_to_english,Tamil body available,5858,66,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/md_pages/Kurunavalgal/idhayam_pongiya.md,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/translated_contents/Kurunavalgal/idhayam_pongiya.md
Kurunavalgal/irumbu_mul_veli.md,ready,tamil_to_english,Tamil body available,6394,38,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/md_pages/Kurunavalgal/irumbu_mul_veli.md,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/translated_contents/Kurunavalgal/irumbu_mul_veli.md
Kurunavalgal/kabothipurakkathal.md,ready,tamil_to_english,Tamil body available,6062,44,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/md_pages/Kurunavalgal/kabothipurakkathal.md,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/translated_contents/Kurunavalgal/kabothipurakkathal.md
Kurunavalgal/kadaisikkalavu.md,ready,tamil_to_english,Tamil body available,5877,44,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/md_pages/Kurunavalgal/kadaisikkalavu.md,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/translated_contents/Kurunavalgal/kadaisikkalavu.md
Kurunavalgal/komalathin_kobam.md,ready,tamil_to_english,Tamil body available,6439,26,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/md_pages/Kurunavalgal/komalathin_kobam.md,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/translated_contents/Kurunavalgal/komalathin_kobam.md
